trade_date,rewards
2011-09-27,"tf.Tensor(1.1170763, shape=(), dtype=float32)"
2011-09-28,"tf.Tensor(1.1161181, shape=(), dtype=float32)"
2011-09-29,"tf.Tensor(1.115173, shape=(), dtype=float32)"
2011-09-30,"tf.Tensor(1.1142387, shape=(), dtype=float32)"
2011-10-03,"tf.Tensor(1.1133139, shape=(), dtype=float32)"
2011-10-04,"tf.Tensor(1.112401, shape=(), dtype=float32)"
2011-10-05,"tf.Tensor(1.1114901, shape=(), dtype=float32)"
2011-10-06,"tf.Tensor(1.1105764, shape=(), dtype=float32)"
2011-10-07,"tf.Tensor(1.10965, shape=(), dtype=float32)"
2011-10-08,"tf.Tensor(1.1087198, shape=(), dtype=float32)"
2011-10-09,"tf.Tensor(1.1077892, shape=(), dtype=float32)"
2011-10-10,"tf.Tensor(1.1068581, shape=(), dtype=float32)"
2011-10-11,"tf.Tensor(1.105926, shape=(), dtype=float32)"
2011-10-12,"tf.Tensor(1.1049911, shape=(), dtype=float32)"
2011-10-13,"tf.Tensor(1.1040292, shape=(), dtype=float32)"
2011-10-14,"tf.Tensor(1.103057, shape=(), dtype=float32)"
2011-10-17,"tf.Tensor(1.1020868, shape=(), dtype=float32)"
2011-10-18,"tf.Tensor(1.1011128, shape=(), dtype=float32)"
2011-10-19,"tf.Tensor(1.1001612, shape=(), dtype=float32)"
2011-10-20,"tf.Tensor(1.0992129, shape=(), dtype=float32)"
2011-10-21,"tf.Tensor(1.0982839, shape=(), dtype=float32)"
2011-10-24,"tf.Tensor(1.0973593, shape=(), dtype=float32)"
2011-10-25,"tf.Tensor(1.0964105, shape=(), dtype=float32)"
2011-10-26,"tf.Tensor(1.0954474, shape=(), dtype=float32)"
2011-10-27,"tf.Tensor(1.0944752, shape=(), dtype=float32)"
2011-10-28,"tf.Tensor(1.0934904, shape=(), dtype=float32)"
2011-10-31,"tf.Tensor(1.0924883, shape=(), dtype=float32)"
2011-11-01,"tf.Tensor(1.0914917, shape=(), dtype=float32)"
2011-11-02,"tf.Tensor(1.0905032, shape=(), dtype=float32)"
2011-11-03,"tf.Tensor(1.089496, shape=(), dtype=float32)"
2011-11-04,"tf.Tensor(1.0884874, shape=(), dtype=float32)"
